,Sigla Empresa,Nombre,Año,Número de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tráfico (N/I),Pasajeros
522,1ED,SARPA S.A.S,2023,1,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,144.0
523,1ED,SARPA S.A.S,2023,1,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,106.0
525,1ED,SARPA S.A.S,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,I,194.0
542,1ED,SARPA S.A.S,2023,1,CUR,HATO,CURACAO,ANTILLAS HOLANDESAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,42.0
552,1ED,SARPA S.A.S,2023,1,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,I,155.0
554,1ED,SARPA S.A.S,2023,1,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,CUR,HATO,CURACAO,ANTILLAS HOLANDESAS,I,96.0
1134,6AF,ALIANSA,2023,1,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,24.0
1135,6AF,ALIANSA,2023,1,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,15.0
1136,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,N,26.0
1137,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,15.0
1138,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,6.0
1139,6AF,ALIANSA,2023,1,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,47.0
1140,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,62.0
1141,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,22.0
1142,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,9.0
1143,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,9.0
1144,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,12.0
1145,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,13.0
1146,6AF,ALIANSA,2023,1,TAR,TARAIRA,TARAIRA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,10.0
1147,6AF,ALIANSA,2023,1,TAR,TARAIRA,TARAIRA,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,3.0
1148,6AF,ALIANSA,2023,1,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,33.0
1149,6AF,ALIANSA,2023,1,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,25.0
1150,AAL,AMERICAN,2023,1,ADZ,SAN ANDRES-GUSTAVO ROJAS PINILLA,SAN ANDRES - ISLA,COLOMBIA,MIA,MIAMI INTL,MIAMI,ESTADOS UNIDOS,I,556.0
1151,AAL,AMERICAN,2023,1,AEX,ALEXANDRIA INTERNATIONAL AIRPORT,ALEXANDRIA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,2.0
1152,AAL,AMERICAN,2023,1,ALB,ALBANY COUNTRY,NEW YORK,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,1.0
1153,AAL,AMERICAN,2023,1,ANU,"ANTIGUA  LEEWARDS V.C.BIRD,",ST. JOHN'S,ANTIGUA AND BARBUDA,CTG,CARTAGENA - RAFAEL NUQEZ,CARTAGENA,COLOMBIA,I,1.0
1154,AAL,AMERICAN,2023,1,ARN,ARLAND,ESTOCOLMO,SUECIA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,I,2.0
1155,AAL,AMERICAN,2023,1,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,68.0
1156,AAL,AMERICAN,2023,1,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,365.0
1157,AAL,AMERICAN,2023,1,AUS,AUSTIN/ROBERT/MUELLER MUNICIPA,TEXAS,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,81.0
1158,AAL,AMERICAN,2023,1,AUS,AUSTIN/ROBERT/MUELLER MUNICIPA,TEXAS,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,230.0
1159,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,CVG,COVINGTON - CINCINNATI,CINCINATTI,ESTADOS UNIDOS,I,8.0
1160,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,DOH,DOHA,QATAR,QATAR,I,2.0
1161,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,LHR,HEATHROW,LONDRES,INGLATERRA,I,4.0
1162,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,MAD,BARAJAS,MADRID,ESPANA,I,16.0
1163,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,MIA,MIAMI INTL,MIAMI,ESTADOS UNIDOS,I,4.29
1164,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,NAS,NASSAU INTL,NASSAU,BAHAMAS,I,1.0
1165,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,I,6.0
1166,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,YUL,MONTRÉAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,I,55.0
1167,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,YYZ,LESTER B PEARSON INTL,TORONTO,CANADA,I,52.0
1168,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,42.0
1169,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,I,6.0
1170,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,5.0
1171,AAL,AMERICAN,2023,1,BDL,BRADLEY INTL,CONNECTICUT,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,1.0
1172,AAL,AMERICAN,2023,1,BDL,BRADLEY INTL,CONNECTICUT,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,35.0
1173,AAL,AMERICAN,2023,1,BGI,GRANTLEY ADAMS INTL,BRIDGENTOWN,BARBADOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,5.0
1174,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,2.0
1175,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,3.0
1176,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,23.0
1177,AAL,AMERICAN,2023,1,BMI,NORMAL,ILLINOIS,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,3.0
1178,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ABQ,ALBUQUERQUE INTL SUNPORT,NUEVO MEXICO,ESTADOS UNIDOS,I,10.0
1179,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ACA,GENERAL JUAN N ALVAREZ INTL,ACAPULCO,MEXICO,I,1.0
1180,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,AMS,SCHIPHOL,AMSTERDAM,HOLANDA,I,17.0
1181,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,I,85.0
1182,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,I,4.0
1183,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,AUS,AUSTIN/ROBERT/MUELLER MUNICIPA,TEXAS,ESTADOS UNIDOS,I,87.0
1184,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BCN,BARCELONA,BARCELONA,ESPANA,I,26.0
1185,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BER,BECERRIL,BECERRIL,COLOMBIA,N,1.0
1186,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,I,20.0
1187,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BJX,GUANAJUATO /INTL,LEON,MEXICO,I,1.0
1188,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BOI,GOWEN FLD,IDAHO,ESTADOS UNIDOS,I,23.0
1189,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BOS,GEN.EDWARD L.LOGAN,BOSTON,ESTADOS UNIDOS,I,150.0
1190,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BRU,BRUXELLES,BRUSELAS,BELGICA,I,1.0
1191,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,BWI,BALTIMORE WASHINGTON INTERNAL,MARYLAND,ESTADOS UNIDOS,I,25.0
1192,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CDG,CHARLES DE GAULLE,PARIS,FRANCIA,I,72.0
1193,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CHS,CHARLESTON AFB INTL,CHARLESTON,ESTADOS UNIDOS,I,2.0
1194,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CLE,CLEVELAND HOPKINS,OHIO,ESTADOS UNIDOS,I,10.0
1195,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CLT,CHARLOTTE DOUGLAS INTL,NORTE DE CAROLINA,ESTADOS UNIDOS,I,228.0
1196,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,COS,COLORADO SPRINGS MUNICIPAL,COLORADO,ESTADOS UNIDOS,I,1.0
1197,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CUN,CANCUN INTL,CANCUN,MEXICO,I,56.0
1198,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CUR,HATO,CURACAO,ANTILLAS HOLANDESAS,I,2.0
1199,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CVG,COVINGTON - CINCINNATI,CINCINATTI,ESTADOS UNIDOS,I,4.0
1200,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,CZM,COZUMEL INTL,COZUMEL,MEXICO,I,2.0
1201,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,DEL,DELICIAS,YOPAL,COLOMBIA,N,2.0
1202,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,DEN,STAPLETON  INT,COLORADO,ESTADOS UNIDOS,I,42.0
1203,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,DFW,DALLAS,DALAS,ESTADOS UNIDOS,I,3.132
1204,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,DOH,DOHA,QATAR,QATAR,I,24.0
1205,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,DTW,WAYNE COUNTY,DETROIT,ESTADOS UNIDOS,I,2.0
1206,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ELP,EL PAILON,CANDELARIA,COLOMBIA,N,50.0
1207,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,EWR,NEWARK LIBERTY INTL,NEW YORK,ESTADOS UNIDOS,I,91.0
1208,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,FCO,FIUMIFINO,ROMA,ITALIA,I,4.0
1209,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,FLL,FORT LAUDERDALE HOLLYWOOD INTL,FORT LAUDERDALE,ESTADOS UNIDOS,I,16.0
1210,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,GCM,GRAND CAYMAN ( CITY ),GRAN CAYMAN,ISLAS CAYMAN,I,2.0
1211,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,GEO,TIMERHI,GEORGETOWN,GUYANA,I,6.0
1212,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,GND,MAURICE BISHOP,GRANADA,ESPANA,I,1.0
1213,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,GRU,GUARULHOS,SAO PAULO,BRASIL,I,1.0
1214,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,GSO,PIEDMONT TRIAD INTL,NORTE DE CAROLINA,ESTADOS UNIDOS,I,25.0
1215,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,HEL,HELITAXI,BOGOTA,COLOMBIA,N,18.0
1216,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,HKG,CHEK LAP KOK,HONG KONG,HONG KONG,I,3.0
1217,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,HNL,"OAHU, HI",HONOLULU,ESTADOS UNIDOS,I,11.0
1218,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,HOU,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,ESTADOS UNIDOS,I,24.0
1219,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,IAD,DULLES INTL D.C.,WASHINGTON,ESTADOS UNIDOS,I,110.0
1220,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,IAH,WILLAM P HOBBY TX,HOUSTON,ESTADOS UNIDOS,I,76.0
1221,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ICN,INTERNATIONAL INCHEON,INCHEON,KOREA,I,9.0
1222,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,IND,INDIANAPOLIS INTERNATIONAL,INDIANA,ESTADOS UNIDOS,I,8.0
1223,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,JAN,JACKSON,JACKSON,ESTADOS UNIDOS,I,16.0
1224,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,JAX,JACKSONVILLE INTERNAL AIRPORT,FLORIDA,ESTADOS UNIDOS,I,43.0
1225,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,JFK,JOHN F KENNEDY INTL,NEW YORK,ESTADOS UNIDOS,I,2.197
1226,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,LAS,LAS VEGAS,LAS VEGAS,ESTADOS UNIDOS,I,90.0
1227,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,LAX,LOS ANGELES INTL,LOS ANGELES,ESTADOS UNIDOS,I,230.0
1228,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,LHR,HEATHROW,LONDRES,INGLATERRA,I,48.0
1229,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,LIM,CALLAO /INTL JORGE CHAVEZ,LIMA,PERU,I,3.0
1230,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MAD,BARAJAS,MADRID,ESPANA,I,65.0
1231,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MCI,SIN ACTUALIZAR,KANSAS CITY,ESTADOS UNIDOS,I,144.0
1232,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MCO,HERDON,ORLANDO,ESTADOS UNIDOS,I,213.0
1233,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MEM,MEMPHIS INTERNATIONATIONAL,MEMPHIS,ESTADOS UNIDOS,I,1.0
1234,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MEX,LICENCIADO BENITO JUAREZ INTL,MEXICO,MEXICO,I,25.0
1235,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MIA,MIAMI INTL,MIAMI,ESTADOS UNIDOS,I,5.075
1236,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MSP,MINNEAPOLIS ST PAUL INTL,MINNEAPOLIS,ESTADOS UNIDOS,I,174.0
1237,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MSY,MOISANT FIED,NEW ORLEANS,ESTADOS UNIDOS,I,28.0
1238,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MTY,GENERAL MARIANO ESCOBEDO INTL,MONTERREY,MEXICO,I,3.0
1239,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,MXP,MALPENSA,MILANO,ITALIA,I,4.0
1240,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,NAS,NASSAU INTL,NASSAU,BAHAMAS,I,77.0
1241,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,NRT,NARITA,TOKIO,JAPON,I,7.0
1242,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,OMA,EPPLEY AFLD,NEBRASKA,ESTADOS UNIDOS,I,24.0
1243,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ORD,O .HARE,CHICAGO,ESTADOS UNIDOS,I,218.0
1244,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ORF,NORFOLKVA BEACH,NORFOLKVA BEACH,ESTADOS UNIDOS,I,5.0
1245,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PAP,PORT AU PRINCE INTL,PUERTO PRINCIPE,HAITI,I,1.0
1246,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PDX,PORTLAND INTL,OREGON,ESTADOS UNIDOS,I,47.0
1247,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PEN,PENSILVANIA,PENSILVANIA,COLOMBIA,N,6.0
1248,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PHL,"PHILADELPHIA INTL, PA.",PHILADELPHIA,ESTADOS UNIDOS,I,146.0
1249,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PHX,SKY HARBORT INTERNATIONAL,ARIZONA,ESTADOS UNIDOS,I,66.0
1250,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,PNS,PENSACALA REGIONAL,PENSACOLA,ESTADOS UNIDOS,I,1.0
1251,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,POS,PIARCO,PUERTO ESPANA,TRINIDAD Y TOBAGO,I,19.0
1252,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,RDU,"DURHAM, NC.",RALEIGH,ESTADOS UNIDOS,I,155.0
1253,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,RIC,INTER RICHMOND,RICHMOND,ESTADOS UNIDOS,I,1.0
1254,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,RNO,RENO INTER,RENO,ESTADOS UNIDOS,I,61.0
1255,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SAL,EL SALVADOR INTL,SAN SALVADOR,EL SALVADOR,I,2.0
1256,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SAN,LINDBERGH FIELD,SAN DIEGO,ESTADOS UNIDOS,I,73.0
1257,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SAT,"SAN ANTONIO / INTL, TX.",SAN ANTONIO,ESTADOS UNIDOS,I,8.0
1258,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SAV,HILTON HEAD INTERNATIONAL,GEORGIA,ESTADOS UNIDOS,I,6.0
1259,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SCL,ARTURO MERINO BENITEZ INTL,SANTIAGO,CHILE,I,21.0
1260,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SDQ,LAS AMERICAS,SANTO DOMINGO,REPUBLICA DOMINICANA,I,4.0
1261,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SEA,SEATTLE,SEATTLE,ESTADOS UNIDOS,I,168.0
1262,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SFO,"SAN FRANCISCO / INTL, CA.",SAN FRANCISCO,ESTADOS UNIDOS,I,156.0
1263,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SGF,SPRINGFIELD BRANSON NATL,SPRINGFIELD,ESTADOS UNIDOS,I,3.0
1264,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SJO,JUAN SANTAMARIA INTL,SAN JOSE,COSTA RICA,I,6.0
1265,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SKB,GOLDEN ROCK,SAINT KITTS,SAINT KITTS,I,27.0
1266,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SMF,SACRAMENTO,SACRAMENTO,ESTADOS UNIDOS,I,42.0
1267,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,SNA,JOHN WAYNE,SANTA ANA,ESTADOS UNIDOS,I,64.0
1268,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,STL,ST. LOUIS,SAINT LOUIS,ESTADOS UNIDOS,I,1.0
1269,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,TLH,REGIONAL,FLORIDA,ESTADOS UNIDOS,I,129.0
1270,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,TUC,TUCUMAN/TENENT MATIENZOT,TUCUMAN,ARGENTINA,I,54.0
1271,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,TUL,TULSA INTERNACIONAL,OKLAHOMA,ESTADOS UNIDOS,I,3.0
1272,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,TUS,TUCSON INTERNATIONAL AIRPORT,ARIZONA,ESTADOS UNIDOS,I,70.0
